2023-01-30 10:57:21MMSD103T1 getStockInfo exception: 'NoneType' object has no attribute 'find'
2023-01-30 10:58:57MMSD4148 getStockInfo exception: 'NoneType' object has no attribute 'find'
2023-01-30 20:33:40MMSZ5239BT1 request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-30 22:45:40MMSZ5256ET1 request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-30 23:48:56MMSZ5272BT3 request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-31 00:19:37MMSZ7V5ET1 request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-31 00:59:44NRVBA1H100T3G request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-31 02:56:17NRVHP8H200MFDT1G request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-31 03:36:22NRVUD620CTT4G request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-31 03:57:43SMMSZ4690T1G request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-31 06:41:54None request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-31 08:18:33None request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-31 20:51:01ACS709LLFTR-6BB-T request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-31 22:16:15ACS755SCB-130-PSF request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-31 22:52:08AUIPS1025R request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-31 23:00:10AUIPS1031RTRL request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-02-01 02:02:35AUIRF9540N request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-02-01 03:34:06AUIRFR3607 request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFR3607 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1227119f0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2023-02-01 03:34:06AUIRFR3710Z request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFR3710Z (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1227122f0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2023-02-01 03:34:06AUIRFR3806 request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFR3806 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x122711ba0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2023-02-01 03:34:06AUIRFR4104 request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFR4104 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x122711870>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2023-02-01 03:34:06AUIRFR4105 request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFR4105 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1227119f0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2023-02-01 03:34:06AUIRFR4105Z request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFR4105Z (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1227122f0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2023-02-01 03:34:06AUIRFR4292 request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFR4292 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x122711ba0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2023-02-01 03:34:06AUIRFR4615 request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFR4615 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x122711870>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2023-02-01 03:34:06AUIRFR4620 request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFR4620 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1227119f0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2023-02-01 03:34:06AUIRFR48Z request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFR48Z (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1227122f0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
